"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","test_accomodation_update","test.db","Mon Feb 23 11:48:25 UTC 2026","passed","Mon Feb 23 11:48:25 UTC 2026","","db_test","",""
"","5","Проверка создания записи","test.db","Mon Feb 23 11:48:25 UTC 2026","passed","Mon Feb 23 11:48:25 UTC 2026","","db_test","",""
"","5","test_accomodation_delete","test.db","Mon Feb 23 11:48:25 UTC 2026","passed","Mon Feb 23 11:48:25 UTC 2026","","db_test","",""
